starttime,stoptime,start station id,end station id
9/1/15 0:38,9/1/15 0:50,447,441
9/1/15 0:38,9/1/15 0:50,228,513
9/1/15 0:38,9/1/15 1:03,445,408
9/1/15 0:38,9/1/15 0:48,494,488
9/1/15 0:39,9/1/15 0:52,367,379
9/1/15 0:39,9/1/15 0:51,521,238
9/1/15 0:39,9/1/15 1:07,284,382
9/1/15 0:39,9/1/15 1:08,493,3002
9/1/15 0:39,9/1/15 0:43,364,258
9/1/15 0:39,9/1/15 0:49,536,511
9/1/15 0:40,9/1/15 0:53,492,545
9/1/15 0:40,9/1/15 0:47,250,432
9/1/15 0:40,9/1/15 0:53,540,174
9/1/15 0:41,9/1/15 0:51,510,160
9/1/15 0:42,9/1/15 0:49,328,147
9/1/15 0:42,9/1/15 1:02,116,312
9/1/15 0:42,9/1/15 7:43,392,3222
9/1/15 0:43,9/1/15 1:09,358,391
9/1/15 0:43,9/1/15 1:03,494,236
9/1/15 0:43,9/1/15 0:48,412,151
9/1/15 0:43,9/1/15 1:23,386,398
9/1/15 0:43,9/1/15 0:57,468,468
9/1/15 0:43,9/1/15 1:23,386,398
9/1/15 0:43,9/1/15 0:47,415,306
9/1/15 0:43,9/1/15 1:06,444,442
9/1/15 0:43,9/1/15 1:08,2021,441
9/1/15 0:43,9/1/15 0:57,517,445
9/1/15 0:43,9/1/15 0:49,3086,3094
9/1/15 0:44,9/1/15 0:47,493,479
9/1/15 0:44,9/1/15 0:52,324,365
9/1/15 0:44,9/1/15 0:52,357,509
9/1/15 0:44,9/1/15 0:55,259,224
9/1/15 0:44,9/1/15 0:58,455,394
9/1/15 0:44,9/1/15 1:00,3158,526
9/1/15 0:44,9/1/15 0:47,532,443
9/1/15 0:44,9/1/15 0:47,523,533
9/1/15 0:45,9/1/15 0:57,401,346
9/1/15 0:45,9/1/15 1:12,510,320
9/1/15 0:45,9/1/15 0:55,297,345
9/1/15 0:45,9/1/15 0:56,251,264
9/1/15 0:45,9/1/15 1:14,2000,258
9/1/15 0:46,9/1/15 1:08,459,513
9/1/15 0:46,9/1/15 1:06,459,513
9/1/15 0:46,9/1/15 1:06,459,513
9/1/15 0:47,9/1/15 1:00,3224,317
9/1/15 0:47,9/1/15 0:50,417,329
9/1/15 0:47,9/1/15 0:58,463,477
9/1/15 0:47,9/1/15 0:56,403,295
9/1/15 0:47,9/1/15 1:03,394,376
9/1/15 0:48,9/1/15 0:59,504,403
9/1/15 0:48,9/1/15 0:52,402,486
9/1/15 0:48,9/1/15 0:52,500,450
9/1/15 0:49,9/1/15 0:55,3084,3067
9/1/15 0:49,9/1/15 1:26,3002,525
9/1/15 0:49,9/1/15 0:59,116,294
9/1/15 0:50,9/1/15 1:00,503,432
